chromosome	start	end	num.mark	total_copy_number	total_copy_number_logr	logr	logr.sd
1	15865	60197222	25541	7	6.79830569661793	0.0407140846784804	0.115032650766712
1	60209701	121485140	10220	3	3.34076621108823	-0.0118191603088293	0.134445855880257
1	142539178	249219611	26068	5	4.95715101568941	0.0131733623702152	0.127199508994252
2	18435	92318652	19633	5	4.76839021469838	0.0102950162568071	0.127933164981645
2	95398021	243035414	29473	4	4.08488382767064	-0.000215764106745897	0.132967219955656
3	64070	90383506	17072	5	5.14882149505209	0.0160854323081482	0.124613585820077
3	93560256	197896800	19992	4	3.70795345417711	-0.00607221930409787	0.135361531317309
4	27812	49592492	10080	5	5.2960306477598	0.0183147628792526	0.127594492272043
4	52697492	190982887	17236	2	1.90999786586861	-0.0346181962556079	0.14380352799412
5	47603	45888975	8160	4	4.20359266263684	0.0016197283993968	0.131713466495762
5	49599264	180876320	25287	4	4.30526025998995	0.00318835860941786	0.134121559763467
6	148112	58779187	22142	5	5.26084495369396	0.0177824812286642	0.124631239202224
6	62007419	171033363	17858	3	2.81502022604161	-0.0201208921057162	0.140674433841399
7	31006	57928998	14809	5	4.67689967965659	0.00889614395101733	0.130774574406196
7	61818740	159127977	21001	4	4.29072657771396	0.00296430817880235	0.131507497084434
8	29111	43828789	10630	5	5.0369592905232	0.0143871967716892	0.126040096184912
8	46856411	146279898	18623	4	3.73105323701922	-0.00571206657694367	0.135949523058963
9	11410	47185609	4490	4	4.2050280001191	0.00164189582818298	0.130579214964016
9	65508204	141111396	15390	6	5.73456658805547	0.0249190553588027	0.122203541045509
10	91802	39024195	9005	4	3.88817349957325	-0.00326670507136052	0.134312983950709
10	42398529	135523745	23134	5	5.21305785043925	0.0170589958995013	0.125502041563189
11	123899	51580877	13808	6	5.94183191727218	0.0280214167416994	0.120684548926262
11	55029786	134945834	23454	6	5.81036433728436	0.0260550084793368	0.122968399307216
12	148077	34846306	8557	4	4.07046717166287	-0.00043896585611541	0.135564663503979
12	37935538	133779169	25578	5	5.06739614714863	0.014849633818339	0.126080861553482
13	19060404	115099705	16318	3	2.89908368633552	-0.0187876502219277	0.13283905195839
14	19109264	107288070	22944	5	4.78966225379848	0.0106199085047723	0.12464434852416
15	20087619	102520452	22247	5	5.04112227716139	0.0144504622917007	0.122219759808157
16	61523	35136261	13613	7	6.92010032224912	0.042502665289856	0.111842665236702
16	46461571	90282401	15621	6	5.91066898281098	0.0275557418987772	0.113828518383676
17	3075	22240394	10048	6	6.16278265820294	0.0313153191482221	0.113200694790572
17	25289407	81060149	24199	6	5.94276208264514	0.028035312215631	0.113506936313609
18	10870	15331495	2882	4	3.64464044191333	-0.00706018233326691	0.128808080528417
18	18511418	78012216	8844	4	3.57287341964117	-0.00818155478770483	0.132091615987791
19	70893	24390680	13643	7	7.3425248709416	0.0486750064808003	0.103289926803125
19	27732527	59097644	15374	7	6.70355939456693	0.0393199212069609	0.109592466936752
20	67000	26319303	5703	5	5.08148574750917	0.015063610471445	0.11928140311268
20	29521264	62959262	12459	6	6.25832254540742	0.0327353906111521	0.113782137785928
21	10861949	11186257	61	3	3.29255415377399	-0.012576840319294	0.130083455349698
21	14409311	48100985	8010	4	4.11533117591773	0.000255422024470227	0.12610964246978
22	16123266	51225561	14274	7	6.60870115318144	0.0379216523438225	0.110235115601341
X	2702298	58562599	6601	3	2.99188445859245	-0.521352340140926	0.143907454653931
X	62270220	154924426	8563	3	2.91630759385343	-0.52361183470269	0.143074467581929
Y	2652340	10037794	194	2	2.46853992484007	-0.537132200066766	0.138831257098758
Y	13249274	59019879	273	3	2.89586948091463	-0.524223972534437	0.188095287914114
